-
Livsstil/land || Anders på landet || Drömmer du om ett liv på landet？ Börja här || -0TsPzPbWzc
Svenska med Kalle || Inflöde är viktigt - Att lyssna och läsa - Vara uppmärksam och notera - Tankar och tips - Svenska || HKLLIUhiSjM
Svenska med Kalle || Bygga samtal - att lära känna människor och vara kreativ - tankar och tips || HjaBiiJpcao
Svenska med Kalle || Träna genom att hjälpa andra - Tankar och tips 17 - Svenska språket || HrFT6hvDkHc
Svenska med Kalle || Träna språk - Tankar och tips 5 || Htb0kvdwUfE
Svenska med Kalle || Träna verb genom att lyssna - Tankar och tips - Svenska språket || J28ok8DAqFs
Svenska med Kalle || Träna prepositioner - Tankar och tips - Svenska språket || KX7I3I7MH1s
Svenska med Kalle || Träna språk - tankar och tips 4 || PhNXq0USvGc
Svenska med Kalle || Utveckla ditt skrivande #3 - jämförelser, sannolikhet och logiska relationer || SaKGI6vVlKQ
Svenska med Kalle || Skriva berättelser - Utveckla ditt skrivande - Svenska språket || W7e5ENzY5JA
Svenska med Kalle || Tala mer idiomatiskt - Tankar och tips om att träna svenska || XNvdHJYVWxA
Svenska med Kalle || Träna språk - Tankar och tips 3 || _MrVOnwf6No
Svenska med Kalle || Svenska språket - Tankar och tips 20 - Studera på ett nytt sätt || aEwX_UuzFPI
Svenska med Kalle || Hur kan jag anteckna på en lektion - Några tankar och tips - plus orden objektivt och subjektivt || cmcola_Z6qE
Svenska med Kalle || Ta chansen att småprata - Tankar och tips - Svenska språket || d0CzqVFbPxk
Svenska med Kalle || Lyssna på det vi inte säger - Tankar och tips 16 - Svenska språket || dTOpXZr3iuM
Svenska med Kalle || Bättre samtal #4 - Bidra till samtalet (släng in något intressant) || edF-GxC9xzI
Svenska med Kalle || Svenska språket - Tankar och tips - Planera dina studier för nästa vecka || fXsMFmcjJP4
Svenska med Kalle || Använd bilder på olika sätt när du lär dig svenska - Lär dig svenska - Tankar och tips || i-v9PYohBa0
Svenska med Kalle || Berätta om enkla saker - Förbered dig - Tankar och tips - Svenska språket || jbGhXCnbjYQ
Svenska med Kalle || Samtalskultur och samtalsämnen - personliga ämnen, turtagning, inkänning || lWLZ65B4QHo
Svenska med Kalle || Träna uttal igen - och träna och träna och träna - Svenska språket || mzE5NO5qAaQ
Svenska med Kalle || Repertoar - Att kunna prata i många olika situationer - Språkets sociala funktion || nzbQ6weGJos
Svenska med Kalle || Mer om att skriva 1 - Att utveckla sina tankar och samtala med andra || oUJK_mIYMFs
Svenska med Kalle || Svenska språket - Tankar och tips 18 - Hörförståelse || s17MNMdvZnU
Svenska med Kalle || Svenska språket - Tankar och tips 12 - Träna ofta. || tsYou_7GqNU
Svenska med Kalle || Skriva recensioner - Varför skriver vi recensioner - Utveckla ditt skrivande på svenska || vZOf5Pw0Yrk
Vlog/Sverige || THE SWEDISH FAMILY || Alma & Harry bråkar! Kaos & kul på resa i Sverige VLOGG || -LuEZpdB3wc
Vlog || THE SWEDISH FAMILY || Familjen testar godis från Finland || 0C_pMlt_KUE
Vlog || THE SWEDISH FAMILY || Action & galna upplevelser på Isaberg VLOGG || 1sLeq5iwDj0
Vlog || THE SWEDISH FAMILY || Harry inlagd på sjukhus VLOGG || 2-YoXdb3dNk
Vlog/Kenya || THE SWEDISH FAMILY || Laura är poppis! Renar vatten till familjer i norra Kenya VLOGG || 2_UKgOH2yNY
Vlog/Thailand || THE SWEDISH FAMILY || En dag i Khao Lak - Thailand VLOGG || 3NLexI9BuA8
Vlog/Sverige || THE SWEDISH FAMILY || Skara Sommarland Vattenpark - för oss själva VLOGG || 4_aYcAPgiwk
Vlog || THE SWEDISH FAMILY || Reser tillbaka i tiden & krymper barnen VLOGG || 7Rc3G9X3sOw
Vlog/Newzeeland || THE SWEDISH FAMILY || Familjen reser till Nya Zeeland från Thailand VLOGG || D_OaunVATbo
Vlog || THE SWEDISH FAMILY || Pepparkakshus CHALLENGE || In5-kDdBqZ4
Vlog || THE SWEDISH FAMILY || Shoppar inför skolstart VLOGG || NADEVL50hq8
Vlog || THE SWEDISH FAMILY || Familjen testar godis från Island || O1D_cPrCGHI
Vlog || THE SWEDISH FAMILY || Draw on my back (rita på min rygg) CHALLENGE || OH6V5BBu-6M
Vlog/Sverige || THE SWEDISH FAMILY || Gröna Lund för oss själva! Åker Monster VLOGG || OVuiPOXKySQ
Vlog || THE SWEDISH FAMILY || Reagerar på våra gamla videor || OkVjIBzwP3s
Vlog/Thailand || THE SWEDISH FAMILY || Djungel & vattenfall med fiskar som äter på oss - Thailand VLOGG || PUOn0cwB-mg
Vlog/Sverige || THE SWEDISH FAMILY || Halloween på Gröna Lund - Alma & Harry hämnas på spöken VLOGG || PcQcUX08LGk
Vlog || THE SWEDISH FAMILY || Vad får Alma, Harry & Laura i julklapp？ Jul hos The Swedish Family VLOGG || PdP6gRapNjA
Vlog || THE SWEDISH FAMILY || Testar godis från Portugal || Pz4KA0lvQew
Vlog || THE SWEDISH FAMILY || Pappa är skadad VLOGG || SLQksXs_LyM
Vlog || THE SWEDISH FAMILY || Testar årets glassnyheter från GB Glass 2022 || UlZwG-umVWs
Vlog || THE SWEDISH FAMILY || Godis vs Mat CHALLENGE - Gummy vs Real Food #3 || UqPYCykMVt4
Vlog/Spanien || THE SWEDISH FAMILY || Bryter Harry armen igen？ Själva på JumpYard i Spanien VLOGG || V2IpiJ57EXY
Vlog/Thailand || THE SWEDISH FAMILY || Familjen reser till Thailand VLOGG || VMdcqjr0Qgw
Vlog || THE SWEDISH FAMILY || Fluffigt äventyr! Familjen bor med Alpackor VLOGG || YbQLjymuUdI
Vlog || THE SWEDISH FAMILY || Hon snackar! Följ familjen i Kläppen VLOGG || eP0XzyGaokc
Vlog || THE SWEDISH FAMILY || Chips vs Mat CHALLENGE Snacks vs Real Food - knasiga smaker! || jXB4xCrqhqA
Vlog || THE SWEDISH FAMILY || Familjen TESTAR nytt KNASIGT GODIS || jdBtOIuWdU4
Vlog/Thailand || THE SWEDISH FAMILY || Äventyr i kajak - Thailand VLOGG || jri8a0KqzOM
Vlog || THE SWEDISH FAMILY || Varning för busunge! Bakar på bageri VLOGG || kSGkn7A5kt4
Vlog || THE SWEDISH FAMILY || Mycket känslor inför familjens flytt VLOGG || uoANYcSn_AU
Vlog || THE SWEDISH FAMILY || Avslöjar en hemlighet! Följ familjen från morgon till kväll VLOGG || wS5WZmXrKdQ
Vlog/Thailand || THE SWEDISH FAMILY || Barnens paradis - Thailand VLOGG || wrgqmoORAE4
Underhållning/Sverige || TV4 || ＂Folk svimmar inte längre＂ - Omar Rudberg - Hellenius hörna - TV4 || WGHf4r7BXSY
The School of Life || PHILOSOPHY - Soren Kierkegaard || D9JCwkx558o
Underhållning/Sverige || Tveksamt || Svenska Tveksamma Julfilmer, här är hela listan! || DTtYLVLKKyc
Intressanta Saker || UR Play || Under ytan på Domedagsglaciären - Sverige forskar || 3ukyeRaJQ4g
Praktisk kunskap || UR Play || Källkoll - Så funkar nyheter || 6f-IOW6M4Ds
Allmänna Utbildning || UR Play || Medeltiden förklarad ｜ HISTORIA ｜ Gymnasienivå || 7MailENdgx4
UR Play || Allt är inte ryskt som trollar || BNp9jjbslvk
UR Play || Källkollat klart för den här gången || BwFjBFSzP7A
Allmänna Utbildning || UR Play || Litteraturepoken renässansen förklarad ｜ SVENSKA ｜ Gymnasienivå || C8piV870aRk
Intressanta Saker || UR Play || Överleva i rymden - Sverige forskar || DJkJmCJFx-8
Praktisk kunskap || UR Play || Statistikfiffel och graffusk || GShoxahjqIg
UR Play || Källkoll - Medieetik - en riktig mediecirkus || HIvkXpPn_kU
Allmänna Utbildning || UR Play || Dna förklarad ｜ BIOLOGI ｜ Gymnasienivå || IF_OUzAABDY
Praktisk kunskap || UR Play || Källkoll - Så styr algoritmer sociala medier || ImHQ9uu62kA
Allmänna Utbildning || UR Play || Antiken förklarad ｜ HISTORIA ｜ Gymnasienivå || J-jOuUL-ZOw
Allmänna Utbildning || UR Play || Litteraturepoken upplysningen förklarad ｜ SVENSKA ｜ Gymnasienivå || K7zHdXKfew4
Allmänna Utbildning || UR Play || Genteknik förklarad ｜ BIOLOGI ｜ Gymnasienivå || Ktc9_Bu0SGs
Allmänna Utbildning || UR Play || Nej, 5G har inget med corona att göra || LLzChuLdifg
Allmänna Utbildning || UR Play || Tidigmodern tid förklarad ｜ HISTORIA ｜ Gymnasienivå || LRRDVrV8yk8
UR Play || Källkoll - Vem betalar inläggen i ditt flöde？ || M7j0DfKrdHY
Allmänna Utbildning || UR Play || Proteinsyntesen förklarad ｜ BIOLOGI ｜ Gymnasienivå || PHSlrOJzYPo
Allmänna Utbildning || UR Play || Litteraturepoken romantiken förklarad ｜ SVENSKA ｜ Gymnasienivå || QpIUerkRYes
Allmänna Utbildning || UR Play || Celldelningen förklarad ｜ BIOLOGI ｜ Gymnasienivå || ReI0nXyZInE
UR Play || Så förändras journalistiken || Urr0cI_gCCo
UR Play || När det liknar fejk men är sant || awGvKdlb3vI
Allmänna Utbildning || UR Play || Litteraturepoken medeltiden förklarad ｜ SVENSKA ｜ Gymnasienivå || bTVyKyhkdAM
Praktisk kunskap || UR Play || Källkoll - Vad kan falska inlägg på nätet leda till？ || er48Ps0Cfm4
Allmänna Utbildning || UR Play || Vasatiden förklarad ｜ HISTORIA ｜ Gymnasienivå || gVeOBod0gNs
UR Play || Vaccinkampen || gsLLVhSS910
Allmänna Utbildning || UR Play || Protein förklarad ｜ BIOLOGI ｜ Gymnasienivå || iMh59rrRq_8
Allmänna Utbildning || UR Play || Människocellen förklarad ｜ BIOLOGI ｜ Gymnasienivå || jNw_kJRBpEQ
Intressanta Saker || UR Play || Jakten på den perfekta snön - Sverige forskar || kKVJ87J_N8I
Allmänna Utbildning || UR Play || Litteraturepoken antiken förklarad ｜ SVENSKA ｜ Gymnasienivå || l2yujRR_S_8
Allmänna Utbildning || UR Play || Frihetstiden förklarad ｜ HISTORIA ｜ Gymnasienivå || m61JTwVb1NI
UR Play || Sämsta coronapranket || s7JbgbZlYaY
Intressanta Saker || UR Play || Så påverkar musik kroppen - Sverige forskar || tucph_MRn-8
UR Play || Virus har ingen etnicitet || uM13ndY1BZI
Intressanta Saker || UR Play || Superplåstret som läker alla sår - Sverige forskar || ukl0XEJ4mRg
UR Play || Corona i maktens korridorer || w89ugKv6Ps0
Literatur || UR Play || Karin Boye förklarad ｜ SVENSKA ｜ Gymnasienivå || y_8tcbe8bEs
UR Play || Källkoll - En guide till fejkvärlden || z-vVlmrYQsU
Allmänna Utbildning || UR Play || Stormaktstiden förklarad ｜ HISTORIA ｜ Gymnasienivå || zi5NImWqto8
Vlog/Sverige || Uppdrag： Mat || Sveriges bästa lookalikes || -4cjYY7eRmE
Vlog/Sverige || Uppdrag： Mat || Sveriges 10 märkligaste restauranger || 1zmge737i4k
Vlog/Sverige || Uppdrag： Mat || Lever som Sveriges mest förberedda prepper || 5_3vnfDzFKU
Vlog/Sverige || Uppdrag： Mat || Korvgubbe och stjärnkock byter jobb i 24 timmar || EH-05LtbEgM
Vlog/Sverige || Uppdrag： Mat || Sveriges 7 mest kända röster (du aldrig sett ansiktet på) || QLxvOt2nB4o
Vlog/Sverige || Uppdrag： Mat || Sveriges lägsta VS högsta lön || bDQWboQSLGE
Vlog/Sverige || Uppdrag： Mat || Lever en dag som Sveriges mest bortskämda person || cI4uCfCrjJU
Vlog/Sverige || Uppdrag： Mat || Säger ja till alla DMs i en vecka || dmlBNrEL23A
Intressanta Saker || Uppdrag： Mat || Sveriges 7 galnaste bostäder || fAu6UyD6EFI
Vlog/Sverige || Uppdrag： Mat || Lever en dag som en svensk miljardär || fq15wkFqZEU
Vlog/Sverige || Uppdrag： Mat || Uppfyller 7 främlingars största dröm || ltZBMfN1A0M
Vlog/Sverige || Uppdrag： Mat || Sveriges mest beroende personer || pPvspNiJglU
VICE || Roid Renaissance： The UK’s Steroid Epidemic ｜ High Society || hAMk9MqhYVk
Samhällsproblem || Vetenskapsradet || Den globala adeln – elitens makt bakom stängda dörrar || E5ySqkEw9KE
Samhällsproblem || Vetenskapsradet || Kommunalpolitik och folkliga uppror – ett samtal om grundforskning i praktiken || KOEbi5SNtL4
Vetenskapsradet || Stärkt svensk forskningskvalitet till nytta för samhället || dlgaX5rraJo
Åbo Akademi || Edvard Westermarck’s archives || iOOQAf7S_QE
Livsstil || Åklagarmyndigheten || Därför blev jag åklagare || CibxUMW-rAs
Samhällsproblem || Örebro universitet || Han är en extrem psykopat │Psykopat del 3 │Krimprofessorn svarar || 0MbQM0wjjsE
Livsstil || Örebro universitet || Vad är det bästa med Örebro universitet？ │Dom kallar oss studenter │Avsnitt 4 || 4Q04CzBrFsg
Utbildning || Örebro universitet || Grundlärarprogrammet, årskurs 4-6 - Örebro universitet || 841lXhadd5w
Örebro universitet || Campusvandring på Örebro universitet || 8mptfBsnoxY
Örebro universitet || Hur är studentlivet i Örebro？ || BI4YeQzGrZI
Utbildning || Örebro universitet || Vill du bli kriminolog？ │Krimprofessorn svarar || Bfw4SHixf8I
Örebro universitet || Boende i Örebro – så hittar du studentlägenhet || D8Gr99bgGhc
Örebro universitet || Allt du behöver veta inför terminsstarten│Dom kallar oss studenter || FHo1WDc9onc
Utbildning || Örebro universitet || Psykologprogrammet - Örebro universitet || H21zFAeviDU
Utbildning || Örebro universitet || Språk, retorik och kommunikativt ledarskap - Örebro universitet || IrOoPcA62Ak
Örebro universitet || Hur är utbildningen i Örebro？ || IrSbcZBU8Gs
Intressanta Saker || Örebro universitet || Låg vilopuls ökar risken för återfall i kriminalitet│ORU Talks Live || TGz_esYS0Jk
Intressanta Saker || Örebro universitet || Därför känner du dig otrygg här - Se förvandlingen av parken │Krimprofessorn svarar || UPqwQpVHhlo
Örebro universitet || Läkarprogrammet - Örebro universitet || ZueN8rvIHGU
Örebro universitet || Min väg till Örebro universitet || _5JrIT758VI
Örebro universitet || Systemvetenskapliga programmet - Örebro universitet || _pwQAfiEzac
Örebro universitet || Jag åt tacos 11 dagar i rad │ Dom kallar oss studenter || bhSqjZMK2rg
Livsstil || Örebro universitet || Hur är det att flytta till Örebro？ || bnpFACMq9OY
Psykologi || Örebro universitet || Vem blir psykopat？│ Psykopat del 2│Krimprofessorn svarar || fSPJv5GReOs
Samhällsproblem || Örebro universitet || Kan man bota en psykopat？ │Psykopat del 4 │Krimprofessorn svarar || kiLMl3qOqEw
Örebro universitet || Därför valde jag Örebro universitet || kqCIYO4FZ8o
Praktisk kunskap || Örebro universitet || Så känner du igen en psykopat│Psykopat del 1│Krimprofessorn svarar || sHUGsNdwhEE
Utbildning || Örebro universitet || Ämneslärarprogrammet - Örebro universitet || tYXKOGqOXiw
Livsstil || Örebro universitet || Hur är det att bo i Örebro？ || taug_7e7Iv8
